Structure [idcode]	CAS	pKa	pKa-type	pKa-temp	logP	logP-type	logP-temp	mp	vp	vp-type	vp-temp	wSol mg/l	wSol-temp	Molweight	
eohZBH@LIJichDAN`@cIIBhheehddmeMDemKDbckejA`bjji`@b@@@	029094-61-9	5.900000000000000e+000	EXP		1.910000000000000e+000	EXP			2.730000000000001e-016	EST	25	3.717000000000000e+001	25	445	
fasaa`OFlxDPRHYDBbLqCXcHhhiilhiUEEirU^pQDTsPPP@@@	076280-91-6				4.780000000000000e+000	EST		198.5				1.400000000000000e+001	26	445	
eolZJH@LBDmgmHfak`@cIEELmMEMEeLhddkLJKODlniimjYjejYjjjijj@@@	088854-60-8				1.290000000000000e+000	EXP			2.560000000000000e-013	EST	25	1.282000000000000e+003	25	445	
e`PPB@@@DCKDfVVUg}UUU]UGFhJBXjjjjjh@@@	000084-77-5				1.050000000000000e+001	EST		< 25	7.889999999999998e-009	EST	25	3.300000000000000e-001	24	446	
e`XPA@@@AECBfmclbbbbbbVftJbafReSDgPsSMSUTEDESU@@@	000114-42-1				4.610000000000000e+000	EST		156						446	
e`XPA@@@AECBfmclbbbbbbVftJbabreSDgPsSMSUTEDESU@@@	000114-43-2				4.630000000000000e+000	EST		150						446	
fmk@z@HHirVk^cfoYk@lIRlw]w]w]}TsUUUUUU@@@	000299-29-6				-7.710000000000000e+000	EST								446	
eohPC@@@DNCOLbjnekglbbTtRVfTTrQTRbrdtBbvNZ``bjjjjjjJ@@@	000490-67-5				-2.220000000000000e+000	EST	25	180       	4.960000000000000e-019	EST	25	8.090000000000000e+004	20	446	
daE@pDpJqjsjqIeTjfjd@@	001746-25-4				2.780000000000000e+000	EXP			2.619999999999999e-007	EST	25	6.696000000000000e+000	25	446	
ehZRH@@DBKD`LbfdTRRVvRTTTTRbQTlL\Vnv~^AZjjjjjh@HHBh@@@	005942-95-0				5.230000000000000e+000	EST								446	
