Structure [idcode]	CAS	pKa	pKa-type	pKa-temp	logP	logP-type	logP-temp	mp	vp	vp-type	vp-temp	wSol mg/l	wSol-temp	Molweight	
dkLDPEt@a`aIeWVzjjf`@	SRC002-85-5				2.270000000000000e+000	EXP								222	
f`a@P@@Hi{HhdhcDedZsUU@AH@@	SRC003-42-0				1.880000000000000e+000	EXP						5.850000000000000e+002	25	222	
fhya@@D@RYyVuUEKQoAZ`@j@@@@@	000053-96-3				3.120000000000000e+000	EST		193	9.440000000000001e-008	EST	25	5.534000000000000e+000	25	223	
f`aP`DLZ@cTyEDhhTiiEFZj@Hj@@@	000059-99-4				-1.300000000000000e-001	EST								223	
foAab@GPQ`@QddebbTVLmFlm@@@P@@@	000081-05-0				-9.100000000000000e-001	EST						3.300000000000000e+002	20	223	
foAab@NPQ`@QddebbtrTeV\mA@@@@@@	000081-06-1				-9.700000000000000e-001	EXP			5.259999999999999e-010	EST	25	1.540000000000000e+003	25	223	
foAab@NPQ`@QddebbfRtmV\mA@@@@@@	000081-16-3				-1.160000000000000e+000	EXP		180       	5.259999999999999e-010	EST	25	4.100000000000000e+003	20	223	
fhy``@A@|dsLsKnqVgVBt@Q@BP@@@	000082-45-1				3.740000000000000e+000	EXP		253.5	5.000000000000001e-009	EXT	25	3.000000000000000e-001	25	223	
foAab@EPQ`@QddebbTTLcV\m@A@@@@@	000082-75-7				-9.100000000000000e-001	EST						2.000000000000000e+002	21	223	
foAab@KPQ`@QddebbTVTeF\m@@A@@@@	000084-86-6				-9.100000000000000e-001	EST			5.259999999999999e-010	EST	25	3.100000000000000e+002	20	223	
foAab@KPQ`@QddebbTVdmF\m@@A@@@@	000084-89-9				-9.100000000000000e-001	EST						1.000000000000000e+003	20	223	
foAab@GPQ`@QddebbTVtmFlm@@@P@@@	000086-60-2				-9.100000000000000e-001	EST						6.000000000000000e+002	20	223	
foAab@GPQ`@QddebRfRpiFlm@@@P@@@	000093-00-5				-9.100000000000000e-001	EST						1.200000000000000e+002	20	223	
dcv@pNBHHHXHR[VyYjZj@@	000095-06-7				3.150000000000000e+000	EST			2.200000000000000e-003	EXP	20	1.000000000000000e+002	25	223	
fhy``@O@ldsLrjjpRgFBt@P@dP@@@	000117-79-3				3.310000000000000e+000	EXP		304.5	5.000000000000002e-011	EXP	25	1.630000000000000e-001	25	223	
foAab@MPQ`@QddebRfbpeV\m@@P@@@@	000119-28-8				-9.100000000000000e-001	EST						4.640000000000000e+003	25	223	
foAab@KPQ`@QddebRfR`iF\m@@A@@@@	000119-79-9				-9.100000000000000e-001	EST			5.259999999999999e-010	EST	25	1.000000000000000e+003	25	223	
f`a`P@H@PkRS\kmj|Dl@DuT@@@	000120-48-9				3.120000000000000e+000	EST		35.5						223	
foAab@IPQ`@QddebRbrPeV\m@D@@@@@	000134-54-3				-9.100000000000000e-001	EST						1.016000000000000e+003	25	223	
f`aa`@D@M{HhhhddYejsUAPQP@@	000304-84-7				1.060000000000000e+000	EST		95						223	
foAab@GPQ`@QddebRfRPiFlm@@@P@@@	000494-44-0				-9.100000000000000e-001	EST						2.000000000000000e+002	20	223	
fhy``@D@TdsLrjQaoNBuP@`@P@@@	000520-03-6				2.400000000000000e+000	EXP		210	1.380000000000000e-008	EST	25	2.951000000000000e+002	25	223	
f`a`P@B@PKvQSQIQPiZsfji`@`@@	000537-55-3				1.320000000000000e+000	EXP			3.410000000000001e-009	EST	25	9.383000000000002e+003	25	223	
fhy``BH@QBT\dwLsJ~IQoNBt@@@@@@@@	000602-60-8				4.780000000000000e+000	EXP		146	1.350000000000000e-006	EST	25	1.140000000000000e-001	25	223	
fhi`@@@YIEBedeDepW`u@AL@@@aJ@	000838-95-9				4.700000000000000e+000	EST		150						223	
fhy``@D@xdrsKsoSbk^BtaP@@P@@@	001022-46-4				3.400000000000000e+000	EST		123.5				5.500000000000000e+000	20	223	
fhya@@D@RYYfuWYpwgAZj@@@H@@@	001022-66-8				2.930000000000000e+000	EXP			1.590000000000000e-007	EST	25	1.040000000000000e+002	25	223	
f`aa`@D@E[Hhdhhd\ehsUAPEP@@	001083-57-4				1.120000000000000e+000	EST		160						223	
dcnH`NtLQIfV]XYV@@@`@@	001198-14-7				2.550000000000000e+000	EST		124						223	
fhy`@@@ITsJjodXiqoU@D@PT@@@	001484-08-8				5.310000000000000e+000	EST		58						223	
f`a`P@H@QKRS\kkZ|Dl@EMT@@@	001956-07-6				2.880000000000000e+000	EST						9.000000000000000e+000	25	223	
do~D`FePbDfUomfn`BIjl@@	001967-16-4				3.020000000000000e+000	EST		45.5	1.580000000000000e-005	EXP	20	5.400000000000000e+002	20	223	
fhy``@D@xdrrn|jRde^Bu@`P@P@@@	002021-26-3				2.970000000000000e+000	EXP			5.500000000000000e-011	EST	25	9.621000000000001e+001	25	223	
dgnJ`CaLKP|LddrRatsUTttD]@	002157-98-4				-2.000000000000000e-001	EXP			1.320000000000000e-005	EST	25	4.907000000000000e+004	25	223	
f`aa`@D@IiIeyWUYJZh@Jj@@@	002438-72-4				2.080000000000000e+000	EXP		154	2.440000000000000e-009	EST	25	5.535000000000000e+002	25	223	
f`a``@C@EdbbRTTITxj``hjh@@	002933-44-0				1.930000000000000e+000	EXP			5.619999999999999e-006	EST	25	7.566999999999998e+003	25	223	
f`a``@C@EdbbRTTITxj``hjh@@	002933-94-0				1.970000000000000e+000	EST		76						223	
fhia@@D@RYVUYwU[pViB@@@@PH`	003056-73-3				3.610000000000000e+000	EXP			2.980000000000000e-007	EST	25	2.732000000000000e+001	25	223	
f`aa`@L@PiIe[V}YZZh@bj@@@	003978-68-5				2.960000000000000e+000	EXP			2.360000000000000e-004	EST	25	9.808000000000000e+001	25	223	
f`aa`@L@QiIe[WUYJZh@Jj@@@	003978-69-6				2.860000000000000e+000	EXP			2.360000000000000e-004	EST	25	1.194000000000000e+002	25	223	
f`a`P@H@QKRS\kk]\Dl@EMT@@@	004195-17-9				2.770000000000000e+000	EST						6.000000000000000e-002	25	223	
foApB@BZLBHrJJIJIRi`kN``Rjh`@@	004201-36-9				2.100000000000000e+000	EXP			1.640000000000000e-005	EST	25	5.390999999999999e+003	25	223	
foApB@IZLBHrJIJIEQJcKN`@jZh`@@	004201-38-1				2.500000000000000e+000	EXP			1.640000000000000e-005	EST	25	2.455000000000000e+003	25	223	
fhya@@D@RYVUYwhqUoAZhH@@H@@@	004888-33-9				2.790000000000000e+000	EXP			1.590000000000000e-007	EST	25	1.370000000000000e+002	25	223	
f`a`P@B@PYrS]lkkJtuT@EL@@@	006636-22-2				-1.330000000000000e+000	EXP			6.930000000000001e-010	EST	25	3.850000000000000e+003	25	223	
dgnJ`CaLKP|LddrRatsUTttD\`	006923-22-4				-2.000000000000000e-001	EXP		55	2.180000000000000e-006	EXP	20	1.000000000000000e+006	20	223	
f`q`P@L@PZvQQISQIPiVg^ZhBBjH@@	006988-21-2				6.700000000000000e-001	EXP		114.5	3.000000000000000e-007	EXP	25	6.000000000000000e+003	20	223	
f`ah`@DDx{pKYEDihedhYJZ`HJZ@@@	015420-54-9				-2.810000000000000e+000	EST						9.000000000000000e+004	18	223	
f`aq`@DXHCSdf]YVuTYjX@bhA@d@	016742-61-3				8.700000000000000e-001	EST						3.500000000000000e+002	16	223	
f`aq`@DXHBSlbbRTTRNQkMU@pE@@@	017075-30-8				1.100000000000000e-001	EXP			2.240000000000000e-008	EST	25	1.305000000000000e+003	25	223	
f`aa`@D@IqInvuURTZjZff`HUV`	017397-89-6				1.740000000000000e+000	EST		93.5						223	
f`qa`@K@iqJ[fyvqRmz`bBjh`@@	017627-77-9				1.070000000000000e+000	EST		160.5						223	
f`a`P@H@QKRS\kk[\Dl@EMT@@@	018934-77-5				2.810000000000000e+000	EST						9.000000000000000e+000	25	223	
f`a``@M@xeJsKorcUPTDU@@@	019343-24-9				1.620000000000000e+000	EXP			6.510000000000000e-006	EST	25	1.392000000000000e+004	25	223	
f`a``@C@teMrjloATAAUU@@@	022004-32-6				2.810000000000000e+000	EXP			2.220000000000001e-004	EST	25	1.341000000000000e+003	25	223	
foAaB@A\ADYEEDhcLdrUgPPLUTP@@	022342-21-8				2.800000000000000e+000	EXP	25		4.159999999999999e-005	EST	25	1.336000000000000e+002	25	223	
f`q`P@L@PHrSJwJwJmhsUAAQQ@@@	022781-23-3	8.800000000000003e+000	EXP	25	1.700000000000000e+000	EXP		130	3.449999999999999e-005	EXP	25	2.600000000000000e+002	25	223	
foAab@LPPH@QddaTRRVuFJLmHPQL@@@	027605-76-1				1.400000000000000e+000	EXP		138.5	1.150000000000000e-005	EST	25	1.500000000000000e+002		223	
f`qa`@M@IIIf]{eV\]zB@jjh`@@	032953-89-2				5.900000000000000e-001	EST		203.5						223	
dknDpNePbABCdLbbRrTaih@JV`@@	050585-76-7				2.250000000000000e+000	EXP			1.350000000000000e-004	EST	25	3.944000000000000e+002	25	223	
f`q`P@D@EIrSLrkoDYjsULuTu@@@	052945-16-1				1.150000000000000e+000	EXP								223	
f`aa`@C@PqInYWWQJZBBJj@@@	061566-63-0				2.380000000000000e+000	EXP			1.560000000000000e-006	EST	25	3.068000000000000e+002	25	223	
f`aa`@C@PqInYWWaJZBBJj@@@	061566-64-1				2.300000000000000e+000	EXP			2.690000000000001e-006	EST	25	3.591000000000000e+002	25	223	
f`a``@M@EdbbRTQrdxj``hjh@@	064980-40-1				1.500000000000000e+000	EXP			7.710000000000002e-006	EST	25	1.763000000000000e+004	25	223	
f`aa`@L@QKHheECDeijsUPPQP@@	069148-74-9				2.060000000000000e+000	EXP			1.310000000000000e-003	EST	25	5.756999999999999e+002	25	223	
f`i``@B@Pdw[RkNkF\[sUUUUUP@@	070873-69-7				4.300000000000000e-001	EXP			2.809999999999999e-011	EST	25	1.208000000000000e+002	25	223	
f`a``@I@|eLljrheTDQEU@@@	072732-50-4				2.350000000000000e+000	EXP			2.060000000000000e-005	EST	25	1.260000000000000e+004	25	223	
do~L`Mp{@HrQSIYQJFfjZfmiBN`	076542-54-6				2.610000000000000e+000	EXP			3.460000000000000e-005	EST	25	1.061000000000000e+002	25	223	
f`qh`@DXyIPGYEEDilhTfBUijijjiP@@	087469-41-8				-9.600000000000000e-001	EXP			9.710000000000002e-009	EST	25	1.070000000000000e+004	25	223	
f`qh`@DXyIPGILrwkjpRmMUMSUL@@	087469-42-9				-1.490000000000000e+000	EXP			9.710000000000002e-009	EST	25	3.034000000000000e+004	25	223	
fhia@@J@RZYeUWuzpZh@`C@@@@	089242-81-9				1.670000000000000e+000	EXP			5.840000000000000e-007	EST	25	4.011000000000000e+003	25	223	
foApB@LDT@HrQQPiIKKEEZijZjf`PX`	101626-70-4				1.480000000000000e+000	EXP			1.920000000000000e-005	EST	25	1.590000000000000e+004	25	223	
fhip@@@XHeLrnsnsg``TEpP@@@@	110235-47-7				3.280000000000000e+000	EXP		132.8	1.740000000000000e-007	EXP	20	3.100000000000000e+000	20	223	
f`aq`@DXHBUlbbRTTRLqgMU@pQ@@@	111075-95-7				3.300000000000000e-001	EXP			2.240000000000000e-008	EST	25	8.468000000000001e+002	25	223	
fhyp@@@XydbbRfLRVUALyYpPLP@TP@@	113270-69-2	7.800000000000000e+000	EXP		3.420000000000000e+000	EXP			5.780000000000000e-009	EST	25	3.969000000000000e+001	25	223	
f`a`P@C@PKVQQJIQJXqUfhJAb`@@	114665-08-6				1.210000000000000e+000	EXP			1.530000000000000e-006	EST	25	4.400000000000000e+003	22	223	
f`q`P@D@EIrSLrkoDYjsUTuTt`@@	117509-89-4				9.700000000000000e-001	EXP			1.560000000000000e-007	EST	25	4.912000000000000e+003	25	223	
f`ip`@JZ\BRTk^vrdYQcoUUUURu@@@	120277-97-6				7.000000000000001e-002	EXP			4.249999999999999e-008	EST	25	2.934999999999999e+005	25	223	
do~``IT{\@aJ[WUY[j@BYj@PYX	SRC000-04-4				1.350000000000000e+000	EXP								223	
f`i`P@G@QrvQQJIJIFDeAJdYjjjijd@@	SRC000-06-7				6.300000000000000e-001	EXP								223	
foApb@LFmA@@cIIBhhddmNMYZ`dFB@@	SRC000-45-9				8.700000000000000e-001	EXP								223	
f`ap`@DXl@bSLoZzzLuU@AT@@@	SRC000-66-6				8.300000000000000e-001	EXP								223	
dcNHpFxH``bXcHhheEBrpPMD@@	SRC001-57-2				2.100000000000000e+000	EXP								223	
f`aa`@E@P{HheDdehcKSTDDUP@@	SRC002-15-1				2.210000000000000e+000	EXP								223	
foA`B@M@bLbbbTQVRYqVhBBjjH@@	SRC002-33-0				3.500000000000000e+000	EXP								223	
f`a``@N@HdsOZzkNMRuUUP@@	SRC003-35-8				2.280000000000000e+000	EXP								223	
f`aq`@DDlBWdf]Yf{uYjXHHhA@d@	SRC003-39-3				6.500000000000000e-001	EXP								223	
dgoB`LHVx{BHrIJIPjJUTmTp@@	SRC003-53-8				7.800000000000000e-001	EXP								223	
dcLDpEtHah`XaIfYfzXBbF@@	000050-31-7	1.500000000000000e+000	EXP	25	2.710000000000000e+000	EST	25	124.5	5.500000000000000e-004	EXP	25	7.700000000000000e+003	22	224	
dcLDpEtH`h`XaIf]^[hHBf@@	000050-82-8				3.470000000000000e+000	EST		166.5	8.269999999999999e-005	EST	25	8.100000000000000e+002	25	224	
f`aQ`@DX@pRSJsvkTxuSMTu@@@	000077-26-9				1.870000000000000e+000	EST		138.5				1.704000000000000e+003	25	224	
foA@R@HHqX@QddebbTVTeF\m@@A@@@@	000084-87-7				-4.400000000000000e-001	EXP		170 dec	9.029999999999999e-010	EST	25	2.951999999999999e+005	25	224	
fdypBBH^bBHAtIPZYnUu^RtzpP`@@BH@@@	000086-40-8				-1.780000000000000e+000	EXP			1.220000000000000e-008	EST	25	5.366999999999999e+004	25	224	
foA@R@HHpx@QddebRfRpiFlm@@@P@@@	000093-01-6				-4.700000000000000e-001	EST		125						224	
f`aQ`@DX@pRSJswKtxuSMUS@@@	000115-44-6	7.790000000000000e+000	EXP	25	1.470000000000000e+000	EXP		109	2.310000000000000e-011	EST	25	1.814000000000000e+003	25	224	
foA@R@HHqX@QddebbTVdmF\m@@A@@@@	000117-59-9				-1.700000000000000e-001	EXP			9.029999999999999e-010	EST	25	1.736000000000000e+005	25	224	
fhi@`@@RrJJIIQFYHVoAZBA`@@@@	000120-46-7				2.510000000000000e+000	EST		70.5						224	
fhyA`@@B|dsLsKnqVgVBt@Q@BP@@@	000129-43-1				3.520000000000000e+000	EXP		193.8	2.093000000000000e-007	EXP	25	8.500000000000000e+000	25	224	
foA@R@HHpx@QddebbTVtmFlm@@@P@@@	000132-57-0				-4.700000000000000e-001	EST								224	
dglF`HSBtp|LddrRatsUTttD]@	000298-01-1				1.300000000000000e-001	EXP		21	1.230000000000000e-004	EXP	20	1.000000000000000e+006		224	
gJPBAbKDtPYAIjj@@	000353-55-9				2.310000000000000e+000	EST								224	
dmt@H@qAdIdEdDfYVfz@`j@@	000392-83-6				3.850000000000000e+000	EST								224	
dmt@H@qAdIdEdLbbRadih@Jh@@	000401-78-5				3.850000000000000e+000	EST		1						224	
dmt@H@qAdIdEdDfUvjZ@Bj@@	000402-43-7				3.850000000000000e+000	EST								224	
fhy@`@@\RYee~uYrVoAZB``@H@@@	000487-26-3				3.140000000000000e+000	EXP		77	1.200000000000000e-005	EST	25	6.801000000000001e+001	25	224	
f`aP`@DL@QIf[ofVBZifjj`@@	000490-02-8				3.460000000000000e+000	EST		98						224	
f`aA@@@YEEDdbddnBZjjjj`@@	000502-72-7				5.550000000000000e+000	EST		63	6.279999999999999e-004	EST	25	5.989000000000001e-001	25	224	
dglB`HSBCpRjuYfZjjj`@	000513-02-0				2.120000000000000e+000	EST								224	
dglB`HSBCpRjuUUZjjj`@	000513-08-6				1.870000000000000e+000	EXP			4.330000000000000e-003	EST	25	6.450000000000000e+003	25	224	
f`qI`@DXUh@oYEEEELTlfRtYjjZfi`@@	000519-37-9				-8.200000000000000e-001	EST		158						224	
f`qHP@HRTxBBVR[e]YegG^VfijZXDAP	000555-84-0				2.400000000000000e-001	EST		262 dec				9.850000000000001e+001		224	
foA@R@HHqp@QddebbtrTeV\mA@@@@@@	000567-18-0				-4.700000000000000e-001	EST		>250						224	
f`qI`@DXUh@gYEEEELTefRtYjjZfi`@@	000569-34-6				1.130000000000000e+000	EST		176						224	
fhyA`@@V|dsLrjjpRgFBt@P@dP@@@	000605-32-3				2.860000000000000e+000	EST		306	6.845999999999999e-011	EXP	25	1.100000000000000e+000	25	224	
f`~@@@DkUUUUZjjjj@@	000629-73-2				8.060000000000001e+000	EST		4.1	2.640000000000000e-003	EXP	25	1.232000000000000e-003	25	224	
f`aHP@HZMxBBNR[e]UYgEijYidBARh	000721-71-1				9.900000000000000e-001	EST						1.610000000000000e+002	18	224	
fhyA`@@^CdTTTRRRQaFRMisP@@DM@@@	000784-50-9				3.430000000000000e+000	EST		341						224	
dclD`NTLQIfVW[ivdJAH@@	000938-40-9				1.910000000000000e+000	EST						5.000000000000000e+003		224	
fhy@`@@HrJZJJJIIDVc^\Ej`@`@`@@	001143-20-0				3.320000000000000e+000	EST						1.000000000000000e+003	15	224	
did@p@qBbAbDfY}n``H@@	001193-72-2				4.170000000000000e+000	EST		26						224	
did@p@qBbAbDfYun``H@@	001435-50-3				4.170000000000000e+000	EST		35						224	
f`a@@@DjU_UUirjjjjj@@	001795-16-0				8.010000000000000e+000	EST		-1.7	1.030000000000000e-003	EXP	25	1.358000000000000e-003	25	224	
f`aQ`@DXArVQQQJ[SQE`fjfZjX@@	001861-21-8				1.590000000000000e+000	EST		56.5						224	
f`aPPBHF@`fhRcdfyWVvYqjZfZiA@T@	001951-56-0				1.340000000000000e+000	EXP			9.139999999999999e-007	EST	25	6.076000000000000e+002	25	224	
f`qI`@DXUh@oYEEEELUDfRtYjjZje`@@	002309-49-1				-6.200000000000000e-001	EST						2.500000000000000e+004	20	224	
f`aPP@JR@`ulbbTRTvaTmMPPPu@@@	002427-90-9				6.500000000000000e-001	EXP			1.040000000000000e-003	EST	25	9.105000000000002e+003	25	224	
f`aQ`@DX@pRSJsvwtxuSMMU@@@	002430-49-1				1.870000000000000e+000	EST		91						224	
f`qPP@DX@IWlbbbRbRQsNFluTttuP@@	003056-17-5				-7.200000000000000e-001	EXP			2.820000000000000e-012	EST	25	6.595000000000000e+003	25	224	
f`aA`@@BudbbRTQrRxj``hjh@@	003102-00-9				2.230000000000000e+000	EST		< 25						224	
fhi@`@@HR[fUYwU[pViB@@@@PH`	003368-16-9				3.830000000000000e+000	EST		172.5						224	
dk\@p@BDBBBDfV{WIeujd@J@@	003467-29-6				3.730000000000000e+000	EXP			2.000000000000000e-006	EST	25	2.129000000000000e+001	25	224	
dg}@PDXH`XaIeY{VfNx@J@@@@	003740-92-9	4.230000000000000e+000	EXP		4.170000000000000e+000	EXP		96.9	8.999999999999999e-005	EXP	20	2.500000000000000e+000	20	224	
foA@R@HHqH@QddebRbrPeV\m@D@@@@@	003771-14-0				-1.800000000000000e-001	EXP			9.029999999999999e-010	EST	25	1.770000000000000e+005	25	224	
dkLBPJ[S@HDHrQIQEIRjZjX@@	005065-18-9				-9.000000000000000e-002	EST						5.500000000000000e+004	10	224	
f`aAP@@HdYrS[Jv{BTu@DUL@@@	005447-38-1				1.110000000000000e+000	EST						1.538000000000000e+003	14	224	
f`aPP@HV@awlbfbbbfq`eK@QER`@@	005465-13-4				3.820000000000000e+000	EST		211.5						224	
fhyA`@@HxdrsLzzJVg^Bu@t@@@@@@	006050-13-1				3.830000000000000e+000	EST		217						224	
fhiP@@@PrQJJJJJIUWgAZ@BH`@A@D@	006319-26-2				5.750000000000000e+000	EST	25		9.090000000000001e-005	EST	25	1.475000000000000e-001	25	224	
fhyQ@@AR@eMrsnkqVc^CPPLT@@@@@	006528-85-4	7.170000000000000e+000	EXP		3.020000000000000e+000	EXP			1.060000000000000e-008	EST	25	8.611000000000000e+001	25	224	
f`a@@@LdbRJRRRQJUUUUUP@@	006785-23-5				8.010000000000000e+000	EST		-10						224	
dk\@p@BDBBBDfWYWJeujX@J@@	006921-83-1				4.260000000000000e+000	EXP			2.000000000000000e-006	EST	25	7.509000000000000e+000	25	224	
fhy@`@@HRYYU^uIRVoAZ```@H@@@	007011-98-5				3.120000000000000e+000	EXP			4.290000000000000e-006	EST	25	7.074000000000000e+001	25	224	
dglB`HSBCpRjuWUZjjj`@	007242-59-3				2.350000000000000e+000	EST						7.100000000000000e+003	25	224	
f`aQ`BHF@aTIQrS\kmk\Dt@EUT@@@	007413-36-7				1.280000000000000e+000	EXP		98	7.219999999999999e-007	EST	25	1.094000000000000e+004	25	224	
fhya@@I@RfuvYWYsUoAh@JP`B@@@	007496-82-4				4.200000000000000e+000	EXP			7.370000000000001e-006	EST	25	8.562000000000001e+000	25	224	
dglF`HSBtp|LddrRatsUTttD]@	007786-34-7				1.300000000000000e-001	EXP		13.95	1.280000000000000e-004	EXP	20	6.000000000000000e+005		224	
fdypBBH^bBHAtIPZYnUu^RtzpP`@@BH@@@	008048-52-0				-2.640000000000000e+000	EST						2.500000000000000e+005		224	
dk\@p@BDBBBDfV~UJmMjZ@B@@	010269-25-7				3.950000000000000e+000	EXP			2.140000000000000e-006	EST	25	6.404000000000001e+001	25	224	
dk\@p@BDBBBDfWVUJmMjZ@B@@	014659-10-0				3.430000000000000e+000	EXP			2.170000000000000e-006	EST	25	3.841000000000000e+001	25	224	
dg\HPHApiprRQJFQJg]UAT@@@	014920-92-4				5.980000000000000e+000	EST	25		1.120000000000000e-001	EST	25	4.261000000000000e-002	25	224	
did@p@qFbAbLbbRakh@b@@	018282-59-2				4.170000000000000e+000	EST		25						224	
dk\@p@BDBBBDfVyWImMjdHB@@	018648-91-4				3.170000000000000e+000	EXP			2.140000000000000e-006	EST	25	6.404000000000001e+001	25	224	
dmtB`NFUADRfYnIjjfZ@@	018721-69-2				-1.030000000000000e+000	EST						6.360000000000000e+004	25	224	
did@p@qBbFbDfYoa`b@@@	019393-92-1				4.170000000000000e+000	EST		65						224	
did@p@qFbAbDfUfn`BH@@	019752-55-7				4.170000000000000e+000	EST		83						224	
dglB`HSBCprRSIIIEMUUUP@@	020195-08-8				2.350000000000000e+000	EST						7.500000000000000e+003	25	224	
fhq@`@@HRYuUVU|Ejf{`@@Pi@	020252-43-1				3.880000000000000e+000	EXP			3.100000000000000e-005	EST	25	1.587000000000000e+001	25	224	
dcLH`ECDRYWUjZ@BY`Hz@	020511-04-0				3.030000000000000e+000	EXP								224	
dkLBPF{S@HhHrQQJXqRjfjX@@	020664-28-2				5.600000000000001e-001	EST						3.342000000000000e+003	25	224	
foAab@EPQX@QddafbTVTeF\mRE@d@@@	020872-53-1				1.200000000000000e-001	EXP			1.790000000000000e-007	EST	25	2.613000000000000e+004	25	224	
f`aQ`@DX@pRSJsvoTxuSMTu@@@	021149-88-2				1.730000000000000e+000	EXP			1.270000000000000e-011	EST	25	1.088000000000000e+003	25	224	
foQPB@DX@DILkVkJcZmisUUUUU@@@	025444-83-1				2.670000000000000e+000	EXP			1.080000000000000e-004	EST	25	1.743000000000000e+003	25	224	
dglF`HSBtp|LddrRLTKUTttD\`	026718-65-0				1.300000000000000e-001	EXP		6.9-21	1.230000000000000e-004	EXP	20	1.000000000000000e+006		224	
dcLH`ECDrJIJEJTt@Ds@Qt@	026891-02-1				3.020000000000000e+000	EXP								224	
fhiP@@@PrQJJJIQHeSk^Z@BB@`A@D@	029418-23-3				5.750000000000000e+000	EST	25		9.090000000000001e-005	EST	25	1.475000000000000e-001	25	224	
fhiP@@@PrQJJJIIGIUcNZ@B@B`A@D@	029418-24-4				5.750000000000000e+000	EST	25		9.090000000000001e-005	EST	25	1.475000000000000e-001	25	224	
fhiP@@@PrQJJJJIJySk^Z@BH@`A@D@	029418-26-6				5.750000000000000e+000	EST	25		9.090000000000001e-005	EST	25	1.475000000000000e-001	25	224	
fhiP@@@PrQJJJJIJeSk^Z@BH@`A@D@	029418-27-7				5.750000000000000e+000	EST	25		9.090000000000001e-005	EST	25	1.475000000000000e-001	25	224	
foAPb@LB``@QddaTTRNSAZLmPLAT@@@	037148-03-1				1.250000000000000e+000	EXP			2.180000000000000e-008	EST	25	2.796000000000000e+003	25	224	
f`qQ`@DBAhvQQQQQJD{`eVZjZfjh@@	039080-62-1				5.700000000000000e-001	EXP			3.080000000000000e-006	EST	25	1.065000000000000e+004	25	224	
f`aY@@DDxJR`YEMDhThif\ZfijjPPE@	039980-81-9				1.080000000000000e+000	EXP			2.950000000000000e-009	EST	25	3.906000000000000e+003	25	224	
foAQb@NF`cP@cIICEDdheNtYZA`fB@@	049739-42-6				2.360000000000000e+000	EXP			7.580000000000001e-006	EST	25	3.154000000000000e+002	25	224	
f`qi@@HDhrPLbbbbjTRWAN|ttuUUP@@	055921-57-8				1.620000000000000e+000	EXP			3.340000000000000e-008	EST	25	1.367000000000000e+003	25	224	
dg\J`L{Sl@aJYV{TYjjjjh@@	056245-60-4				-1.510000000000000e+000	EXP			2.790000000000000e-009	EST	25	6.361999999999999e+005	25	224	
did@p@qBbNbDfYya```@@	056961-77-4				4.170000000000000e+000	EST		60						224	
f`qX`@LBUYw`\ReYYwfRcVjj`PJ`@@	059277-86-0				-1.060000000000000e+000	EXP			9.419999999999998e-012	EST	25	1.287000000000000e+004	25	224	
f`aPPBHR@cUhRcdfyWVzxIh@JZh@@	062100-54-3				1.610000000000000e+000	EXP			3.590000000000000e-009	EST	25	5.615999999999999e+002	25	224	
fhyQ@@DR@dsrmjjIVc^Bu@DT@@@@@	063020-20-2				3.020000000000000e+000	EXP			4.780000000000001e-009	EST	25	6.683999999999999e+000	25	224	
f`a@`@@HRYWUUTeFjfjjhDFP	064726-91-6				4.320000000000000e+000	EST								224	
f`qAb@HXhCPrISIQQJHzL{uMP@@@@@@	082609-03-8				-1.500000000000000e+000	EXP			3.900000000000000e-012	EST	25	6.244000000000000e+005	25	224	
fhya@@I@RfunyWXKUoAh@bP`B@@@	082682-68-6				4.140000000000000e+000	EXP			7.370000000000001e-006	EST	25	9.635000000000000e+000	25	224	
f`aPPBHV@aQhRcdfyWUnxIh@Jfh@@	084640-31-3				1.950000000000000e+000	EXP			8.840000000000001e-005	EST	25	2.878000000000000e+002	25	224	
fhiH@@@TXGHeEDeEXdnB|G`HJ`@@@@	084884-30-0				2.130000000000000e+000	EXP			2.010000000000000e-006	EST	25	2.692000000000000e+002	25	224	
f`a@P@@HdYIme[]aJZ`BJj@@@	088449-50-7				1.750000000000000e+000	EXP			2.440000000000000e-005	EST	25	2.598000000000000e+003	25	224	
dgmB`LJD[`BLddNfRbRuMUT@@	089851-12-7				1.190000000000000e+000	EST						4.000000000000000e+003	25	224	
f`aPP@HF@`fdfyWVuYqZZfZiA@T@	090147-31-2				1.860000000000000e+000	EXP			5.260000000000000e-007	EST	25	3.435000000000000e+002	25	224	
f`aQ`@DX@pVQQIQZZQVgFjYjjX@@	091430-64-7				1.640000000000000e+000	EXP			3.210000000000000e-011	EST	25	1.299000000000000e+003	25	224	
foAQA@DX\@HMHYEEEmDeBQfkMUPAD`@@	095333-49-6				1.120000000000000e+000	EXP			1.180000000000000e-007	EST	25	1.399000000000000e+005	25	224	
f`qAP@@\d{vQQQJJJqQ`cVZfZjfh@@	104273-73-6	5.319999999999999e+000	EXP		1.800000000000000e+000	EXP		144.4	1.730000000000000e-008	EXP	25	1.300000000000000e+003	20	224	
fhiH@@@TXEIYeW[W`oAxBBh@@@@	120137-90-8				2.330000000000000e+000	EXP			8.950000000000002e-007	EST	25	1.817000000000000e+002	25	224	
foAIB@BJM[@HaI[YVuehujZZVfh@@	142312-63-8				1.220000000000000e+000	EXP		176.5	6.930000000000001e-008	EST	25	2.952000000000000e+003	25	224	
