molecule,number,FDA,approved,name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half,life,logs,logd,bioconcen,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53,herg,herg
,,222.102,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,223.1098,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,225.0741,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,235.1113,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,237.1257,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,245.0801,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,247.1475,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,249.126,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,251.1424,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,252.1466,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,253.1215,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,260.1185,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,261.1276,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,263.1427,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,265.1584,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,266.1616,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,267.1654,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,275.1427,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,276.1473,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,277.1568,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,278.1607,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,279.1366,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,285.1272,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,285.1645,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,286.168,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,287.1426,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,291.1377,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,293.1537,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,294.1571,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,295.1495,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,296.1528,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,297.1603,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,303.1369,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,304.1409,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,305.1523,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,311.1632,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,312.1667,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,313.1601,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,314.1627,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,315.1574,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,316.1601,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,321.148,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,322.1511,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,323.1437,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,324.1495,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,325.1558,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,331.1525,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,332.1545,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,333.1656,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
