Mz,pains,,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
179.42633,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
180.0239,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
181.0322,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
182.851,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
183.004,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
183.1507,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
184.183,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
216,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
218.7484,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
219.0333,0,0.429,-4.436,9.495,-3.544,3.019,0.908,2.943,3.029,3.937,,-0.689,0,0,0.2,0.6,1,0.6,0.6,0.8,0.8,0.4,0.4,0.8,0.8
