Mz,pains,,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,,lc50fm,lc50dm,,,,,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
251.812149,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
252.045013,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
253.620056,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
253.65416,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
253.677979,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
253.964325,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
254.041763,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
254.11232,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
254.251266,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
254.516266,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
254.561096,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
254.774002,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
255.043594,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
256.546906,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
256.808594,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
256.86395,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
256.903259,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
258.02435,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
258.242188,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
265.975677,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
271.428009,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
271.797607,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
271.921722,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
274.048279,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
274.60144,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
275.047791,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
277.964172,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
278.046539,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
375.958252,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
387.940704,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
388.98764,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
405.964142,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
406.969574,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
497.024933,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
556.10913,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
556.9887,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
681.017212,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
814.765747,0,,0.231,-4.504,0.44,,-5.186,2.737,,1.024,,4.201,,5.468,,4.667,-1.326,0,0,0,0.8,1,0.2,0,1,0.8,0,1,1,1
