Mz,pains,,fsp3,cacao,,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
148.9705,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
149.0132,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
149.01797,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
149.067,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
157.05206,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
158.0363,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
158.7766,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
161.6932,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
166.99246,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
168.7294,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
168.9906,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
170.9877,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
174.0132,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
188.9971,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
189.014,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
190.06263,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
204.99,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
209.0032,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
212.7346,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
212.9975,0,0.167,-6.012,0.957,-3.719,1.976,0.323,3.825,4.448,3.919,,,-1.044,0,0,0,1,0,0.2,0,0,0.4,0,1,0.6,0
