mz,pains,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,,lc50fm,lc50dm,,,,,,,,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
402.007721,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
402.991852,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
445.99704,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
473.959595,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
474.944519,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
481.972229,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
488.010956,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
494.9508,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
517.95166,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
517.971,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
537.478149,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
545.672913,,0,,0.05,,-5.93,0.029,,-7.909,4.311,,2.106,,4.676,,6.754,,7.702,-1.762,0,0.2,0,0.8,0.6,0.4,0,1,0.8,0,0,1,0.8
