Structure [idcode]	MW	name	activity	activity_value	mode_of_action	receptor	receptor_class	reference	remarks	
dk]H@DTLbbbQbRImMjj@BHJ@@	176.21828	Cotinin	CYP 2E1 Ki at 10mM<NL>LD50(mouse) i.v. 	308 mM (54 mg/ml)<NL>180 mg/kg	activator for nAChR<NL>inhibitor for CYP 2E1	nAChR alpha3<NL>nAChR alpha6beta2<NL>CYP 2E1	Nicotinic<NL>Cytochrome P450	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://toxsci.oxfordjournals.org/cgi/content/full/64/2/185<NL>RTECS 	Origin: Nicotiana species	
ejQPN@@@B@emgd\bbbdrJTfbJbbvTaaRdXdL\RrZFZfjZjZjjjifjjaIEhgHeLhtaeMHOh	514.6565	Cucurbitacin I; (Elatericin B.)	LD50(mouse) p.o.	5 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Ecballium elaterium; Gratiola officinalis; Iberis amara	
fig`P@H`yenRJJJJJIIIXiHr|hudqKPAADQQUTQPT`@	341.4056	Cularin						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1 	Origin: Dicentra spectabilis and other Dicentra species	
dmLD@@QIe[VfeVi@B@@	146.14464	Cumarin; (Coumarin; 1,2-Benzopyron)	LD50(rat) p.o.<NL>LD50(guinea pig) p.o.<NL>LD50(mouse) p.o.<NL>LD50(mouse) s.c.	680 mg/kg<NL>202 mg/kg<NL>196 mg/kg<NL>242 mg/kg	antagonist	Vitamine K		Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://www.chemgapedia.de/vsengine/vlu/vsc/de/ch/8/bc/vlu/biotoxine/pflanz<NL>engifte.vlu/Page/vsc/de/ch/8/bc/biotoxine/cumarin.vscml.html<NL>RTECS 	Origin: Anthoxanthum odoratum; Galium odoratum; Dipteryx odorata	
dcLL@@STfue^UZX@HBL`	164.15952	p-Coumaric acid; (Naringenin acid; 4-Hydroxy-cynnamic acid)	LD50(mouse) i.p.<NL>Lipoxygnase IC11	657 mg/kg<NL>5 mM	inhibitor	Lipoxygenase		Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS<NL>http://www.ars-grin.gov/duke/syllabus/module18.htm 	Origin: Catalpa bignioides; Chimonanthus praecox; Impatiens balsamina	
fhqQpBCNA`RmV|z_]dbbbTRVNeIUUUUSURDQBJbdhVP	252.22205	Cycasin	LD50(mouse) p.o.<NL>LD50(rat) p.o.<NL>LD50(guinea pig) p.o.<NL>LD50(rabbit) p.o.	500 mg/kg<NL>270 mg/kg<NL>20 mg/kg<NL>30 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS 	Origin: Cycas revoluta; Cycas circinalis L.<NL>carcinogen in rats by oral, not by parenteral application	
gjotAl@@@BcIBqLeVhuFsUeq{}APx^LgSY\~TnTkdRdRttbfdRtcVdrtfJbTRRTRRbbbbRTRbRffVJbVtuWBPh\V@bPhLfWGgHTf{WjHDRYBmUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUU|PQ`mBlSqBbzIxdRIKdaTeJtgT}HMDrKIlnrgS]Kr@hbjJDiSCJBh@@	1223.3573	Cyclamin	hemolytic index<NL>LD50(rat) i.v.	1:390000<NL>13 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS 	Origin: Cyclamen persicum; Cyclamen purpurascens	
ec`TH@@IE`LbbbTTTVtlRaRaQCEgdRVQWTuUUUUUUUMUUJPQBDJbLKR^RIERY@@	386.6215	Cyclobuxin-D	LD50(dog) p.o.<NL>LD50(mouse) s.c.	~0.1 g/kg<NL>300 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS 	Origin: Buxus sempervirens; Pachysandra terminalis	
enSPI@@@DKNacgbZ\bbVTTbTUfRdrbNRbRbVHhdL|BrjVvaQZfjjjjjfjjjjjjhqa\JRNHIIJj[Jy@rFHh@	548.67035	Cymarin; (K-Strophantin-alpha-; Cymarigenin)	LD50(rat) i.v.<NL>LD50(mouse) i.p.<NL>LD50(cat) i.v.	20 mg/kg<NL>12 mg/kg<NL>95 mcg/kg	cytotoxicity against human solid tumor cell line A549			Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS<NL>http://lib.bioinfo.pl/meid:151866	Origin: Strophantus species; Adonis vernalis	
enSPI@@@DKNecgbZ\bbVTTbTUfRdtRqRbRbVHhdL|BrJfvaQZfjjjjjjjjjjjjjSaNPIESYWHFPqE@@	550.6862	Cymarol	LDLo(cat) i.v.	99 mcg/kg	inhibitor<NL>cytotoxicity against human solid tumor cell line A549	Na+/K+-ATpase		Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://lib.bioinfo.pl/meid:151866<NL>RTECS<NL>http://www.patentstorm.us/pa<NL>tents/5428163/description.html 	Origin: Strophanthus species	
fgAQ@@DVAdTTRbLRYrVcVZiZjjdBTh@	190.24516	Cytisin; (Ulexin; Baptitoxin; Laburnin; Sophorin)	LD50(mouse) p.o.<NL>LD50(cat) p.o.<NL>LD50(dog) p.o.<NL>LD50(goat) p.o.	101mg/kg<NL>3 mg/kg<NL>4 mg/kg<NL>109 mg/kg	agonist<NL>part. agonist	nAChR alpha3beta4<NL>nAChR alpha4beta2	Nicotinic Acetylcholine	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=1959230 	Origin: Laburnum anagyroides; Colutes arborescens; Genista germanica; Genista tinctoria	
dk\B@@P]RYVyznTviBBH@@	178.14264	Daphnetine; (7,8-Dihydroxycoumarine)	LD50(mouse) p.o.<NL>LD50(mouse) i.p.<NL>LD50(mouse) i.v.	5370 mg/kg<NL>429 mg/kg<NL>375 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Daphne species	
elYPA@@@FICODnalbbbdlVdTaRTtb\RRbHDLllBJFjVzV~QZZjjjjjjhHFJjcSB\HRJSQVPJQSJEQY@@	482.5272	Daphnetoxine	LD50(mouse) i.p.	1100 mcg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Daphne species	
emXxI@@G`DMHlco`Y\bbTTRTbbLtVrbfbRbLRRzTBl|\RjFfvQqQyZ`hJjJjjjZjjjjJjcBIqADYGIyBeTihmMdb`@	599.7183	Delphinine; (Staphisagrine)	LD50(mouse) i.v.	1 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Delphinium elatum; Delphinium staphisagria	
ekdXH@@J`LbbRfbTJTtRrbVRhXTt\|brjZVvjjjjjjjjjjjcHDQFDHmIYOEDlhUFdl`@	399.6603	Demissidine; (Solanine D; Dihydrosolanidine T)	LD50(hamster) p.o.	312 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Solanum species	
ee_TA@@MdPDMG@failbbTTRTRbRbRVbVJQRfRRRgefVstNIMHlkTEAUEUUMUUTt@EPLDSaFRrYIz@@	578.6597	Deserpidine; (Canescine; Recanesine; 11-Desmethoxy-reserpine)	LD50(rat) i.v.	15 mg/kg			Adrenoceptor	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS<NL>http://www.pharmgkb.org/views/index.jsp?objId=PA449231#tabview=ta<NL>b1	Origin: Rauvolfia species<NL>Tumorigen	
eapO@@@DCG@cgbZ^[WPv~|bbVTTbbbcaRdrvRbRbQTRTRJbRbQEDedRUSRvtJJnnY[TuUUUUUUUUUUUUUUUUUUSSBxPddbb|bRJSRvUrAdLQSJebluWjSf\KP@	796.94415	Diginatin	LDLo(cat) i.v.	473 mcg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Digitalis lanata	
gjotA\@@@F@PhtN@fPXBqDjVjufkSmq{}APdQJesERyHhheDeLmEideEDhdhThdbhhiidhhhdedSEieMMLdekPdIJdrx\aRoQjLv_]etFcILa\mUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUULhDPP`jDxRPcB|IIBbjSiIbVJxobaQdnREQUCR]Kt`rcIlnrWR|gr@sBjLxrRcJrp@@	1229.3175	Digitonin; (Digitin)	Hemolytic Index<NL>LD50(rat) p.o.<NL>LD50(rat) i.v.<NL>LDLo(mouse) p.o.<NL>LDLo(mouse) s.c.<NL>LDLo(mouse) i.v.	1:168000<NL>>50 mg/kg<NL>4 mg/kg<NL>90 mg/kg<NL>200 mg/kg<NL>10 mg/kg	lipase inhibitor			Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS<NL>http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6TGN-4J<NL>KRWJP-1&_user=6509835&_rdoc=1&_fmt=&_orig=search&_sort=d&view=c&_acct=C000050482&_version=1&_urlVersion=0&_userid=6509835&md5=3e5ff33cab7516117f65cc8b56eaecd8	Mutagen	
fm@P@@HloHheeEHeEYdiLmbTd[p\eGMjZjjjjjjjjDq\ThzARTUSP@	374.51895	Digitoxigenin; (Cerberigenin; Thevetigenin)	LD50(mouse) i.v.	1131 mcg/kg	inhibitor		Na+/K+-ATPase	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS<NL>http://www.uni-siegen.de/fb8/ac/hjd/lehre/ws0708/bioinorg.pdf (P.<NL>48)		
ef{pK@@@DKEcd\Z]SWRz|bbVTTbTUfRdrvRbRbQTRTRJbRbQEDag`VQPtwpHllZ[TuUUUUUUUUUUUUUUUUUTTpnEIGHDddTielgi}@TRnXKIUZ`yGDt@@	764.94617	Digitoxin; (Digitalin; Lanatoxin)	LD50(guinea pig) p.o.<NL>LD50(cat) p.o.<NL>LDLo(pig) i.v.<NL>IC50(HEK239 cells)	60 mg/kg<NL>0.18 mg/kg<NL>400 mcg/kg<NL>75.4 mcM	inhitbition of plasma membrane Na+/K+-ATPase in HEK-239 cells			Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS		
ec`PJ@@@DKOMlbbVTTbTTlJTfVqEDa`TQUTrsTuUUUUUUUURLKaRQQNRIYJiKH@	390.51797	Digoxigenin	LDLo(cat) unreported	285 mcg/kg		Na+/K+-ATPase		Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS<NL>http://molpharm.aspetjournals.org/cgi/content/abstract/12/3/399		
enwpG@@@DKOMklRVS[_Zv|bbVTTbTTlJTfVrTRTRJbRbQTRTRHhdLBbJjfVAaeUSsZfjjjjjjjjjjjjjjjjjjjia\JRJIrQKIUIYGKz@rEThVRqUNjNIsM@@	780.9452	Digoxin; (Digacin; Dixina; Lanacordin; Lanicor; Lanoxin)	LD50(rat) i.v.<NL>LD50(cat) p.o.<NL>LD50(guinea pig) p.o.<NL>LD50(rat) p.o.<NL>LDLo(pig) i.v.<NL>IC50	25 mg/kg<NL>200 mcg/kg<NL>3500 mcg/kg<NL>28.3 mg/kg<NL>230 mcg/kg<NL>0.45 mcM	inhibitor	dog kidney Na+/K+-ATPase		Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS<NL>http://jpet.aspetjournals.org/cgi/content/full/303/2/592		
fewQ`@BEAUnQQQIQQIIQIJX{`eNBUNVijjBjBZhhpjZSh@	354.44843	Dregamine	LD50(mouse) p.o.<NL>LD50(mouse) i.v.	130 mg/kg<NL>24 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Apocynaceae	
ffkQ@@DA@dsKLrjkkE\d{HRqjuTCTETUQRFQR@@	294.39667	Eburnamonine	LD50(mouse) p.o.	3 g/kg	allosteric modulator	M2; M4	Muscarinic	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS<NL>http://www.ncbi.nlm.nih.gov/pubmed/9224827	Apocynaceae	
el^TB@@CF`JO`TinU]e]U[YWU^ICG@himkgjBBJjjjj``JhjBEHEHhU@@	480.6466	Emetine; (Ipecin)	LD50(rat) i.p.<NL>LDLo(cat) s.c.<NL>LDLo(cat) i.v.<NL>LDLo(human) unreported	12.1 mg/kg<NL>8 mg/kg<NL>10 mg/kg<NL>29.41 mg/kg	in combination with TNF apoptisis in HeLa cells<NL>inhibition of protein synthesis			Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS<NL>http://www.nature.com/onc/journal/v21/n53/full/1206053a.html	Origin: Cepha?lis ipecacuanha<NL>Tumorigen; mutagen	
dcNH@FAIfYWgZ`hHDaY@@	165.2351	Ephedrine	LD50(mouse) i.p.<NL>LDLo(rat) i.p.	150 mg/kg<NL>170 mg/kg	causes noradrenaline release	beta1; beta2; alpha1	adrenoceptor	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://www.nda.ox.ac.uk/wfsa/html/u10/u1004_01.htm<NL>RTECS	Origin: Ephedra distachya; Ephedra species	
faw`P@M@iUjTrnkJnjkbgAZmxNRm{PPEUU@ETPRIJt@@	323.347	Eschscholzine; (Californine)						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Eschscholzia californica	
fi{Ap@@\dZM^yEEDhhmCDdliTrRkYZtCDTAPTU@@@	344.31805	Eupatorine						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Eupatorium perfoliatum; Eupatorium species	
e`\PH@@@LbbdRebTJTfbqbrfg@ae`TQSUUUUSUUUUSUU\PHbBKqQPj]H@	440.75287	Euphorbol						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Euphorbia species	
ejUPA@@@DKEcolR\bbVTTbTUfRdrvRbTTrHhdL|BrJFfAaZfjjjjjjjjjjjjlXWBdcdBRRJTrvet^`JaP@	520.66034	Evomonoside	LD(cat) i.v.	0.28 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Euonymus europaeus	
efuxH`@A@DMAemcodRVQ][_Tr|bbTRbTbTrafbbTtTfQbjbRTLRcbcdVSTqpHMKTDQTUUUMMUUUSULtsETYpiDXoIDldtneLkhCJT@@	761.7274	Evonine						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Euonymus species	
dg\B@@Q[R[VUmgVf@HhBL`	194.1854	Ferulic acid	LDLo(mouse) par.<NL>LD50(mouse) i.p.	1200 mg/kg<NL>>194 mg/kg	antagonist<NL>inhibits the formation of nitroso compounds	NMDA	N-methyl-D-aspartate	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS<NL>http://www.phytochemicals.info/phytochemicals/ferulic-acid.php<NL<NL>>http://cat.inist.fr/?aModele=afficheN&cpsidt=17638689	Origin: Ferula assa-foetida<NL>antioxidant; neuroprotector	
eghPI@@@AC@djacklbbbbbbbrNrtRbfWBfgcdTrsPADPBUUUUPUARZWRfbt@@	416.3808	Frangulin A; (Emodin-L-rhamnoside; Rhamnoxanthine)						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Rhamnus frangula<NL>Mutagen	
ek`PI@@@AC@djaeclbbbbbbbrNrtRafxTt|\bzfZ@Hb@RjjjhK@iMJZ@@	402.3539	Frangulin B						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Rhamnus frangula	
eolPH@@@LbbbTaVdrtfbtLRtXxtLBbZzvNZjjjjjjjjjjjQBDKbJPq^JJESj@@	426.726	Friedeline						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Punica granatum; Vaccinium ugliginosum	
fjca`@L`xgIEEEDhdddcRTdxpXyhJ`jbZjJpaTQd@	287.35773	Galanthamine; (Lycoremine)	LD50(mouse) i.v.<NL>LD50(mouse) p.o.<NL>LD50(mouse) s.c.<NL>LD50(rat) i.p.<NL>IC50 (AChE)<NL>IC50 (BuChE)	8.0 mg/kg<NL>18.7 mg/kg<NL>14 mg/kg<NL>15.2 mg/kg<NL>0.55 mcM<NL>15.24 mcM	inhibitor	AChE; BuChE	Acetylcholinesterase, Butyrylcholinesterase	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS<NL>http://www.ingentaconnect.com/content/ben/prn/2006/00000001/00000<NL>001/art00009<NL>http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6TF9-4MYMFS8-8&_user=6509835&_rdoc=1&_fmt=&_orig=search&_sort=d&view=c&_acct=C000050482&_version=1&_urlVersion=0&_userid=65098<NL>35&md5=53351157b4d3421eaf97601ee11c74f1	Origin: Galanthus nivalis; Leucojum vernum	
fawP`@DI@kHheHdhhddhclRehn|GL\ijuUAUAUUIESLQbyCJtc@@	322.40668	Gelsemine	LD50(rabbit) s.c.<NL>LDLo(rat) unreportet	0.1 mg/kg<NL> 60 mcg/kg	antagonist<NL>upregulate 3-alpha; 5alpha-THP biosynthesis acting via Gly-R	Muscarinic<NL>nicotinic	Muscarinic<NL>nicotinic acetylcholine	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS<NL>http://www.tga.gov.au/docs/pdf/cmec/cmecmi29.pdf (P.4)<NL>http://<NL>lib.bioinfo.pl/auth:Belon,P	Origin: Gelsenium sempervirens	
egdPF@@@DCGBklbbVTTbbbqfRtfVqEDe`RSWVqsTuUUUTuUUUUHpnDIIIyDeTnd\`@	418.52795	Gitaloxigenin	LDLo(guinea pig) i.v.	296 mcg/kg	inhibitor	Na+/K+-ATPase		Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS<NL>http://www.ncbi.nlm.nih.gov/pubmed/6296702	Origin: Digitalis species	
gipDAx@@@B@pxJWOeIdJ]^hwX]dTRrbdTTVLrVdrvRbRbQTRTRJbRbQBaHlADcSilNHlVhtVkMSUUUUSUUUUUUUUUUUUUUQQ`nBdSqDbjKhcb^JEDTqKdeTuPt`rsPmJr@@	808.95514	Gitaloxin; (16-Formylgitoxin)	LD50(rat) p.o.<NL>LD50(rat) s.c.<NL>LD50(guinea pig) p.o.<NL>LDLo(guinea pig) i.v.<NL>LDLo(cat) i.v.	29960 mcg/kg<NL>16260 mcg/kg<NL>1390 mcg/kg<NL>450 mcg/kg<NL>900 mcg/kg	inhibitor	Na+/K+-ATPase		Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://www.giftpflanzen.com/urheberrecht_bei_giftpflanzen.com/gitoxin.gif<<NL>NL>http://www.springerlink.com/content/l13247k86033q675/<NL>RTECS	Origin: Digitalis species	
ec`PJ@@@DCGMlbbVTTbbb\rTfVqEDe`TQUTrsTuUUUUUUUURLKaBRR^RIYJiKH@	390.51797	Gitoxigenin; (Anhydrogitaligenin; Bigitaligenin)	LD50(cat) i.v.<NL>LDLo(guinea pig) par.	3 mg/kg<NL>5400 mcg/kg	inhibitor	Na+/K+-ATPase		Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://www.ncbi.nlm.nih.gov/pubmed/6296702<NL>RTECS	Origin: Digitalis species	
enwpG@@@DCGMklRVS[_Zv|bbVTTbbb\rTfVrTRTRJbRbQTRTRHhdlBbJjfVAaeUSsZfjjjjjjjjjjjjjjjjjjjia\HRRSrQKIUIYGKz@rEThURqUNjNIsM@@	780.9452	Gitoxin; (Anhydrogitalin; Bigitalin)	LD50(mouse) i.p.<NL>LD50(rat) i.v.<NL>LDLo(guinea pig) i.v.<NL>LDLo(cat) i.v.	6.4 mg/kg<NL>21 mg/kg<NL>4400 mcg/kg<NL>590 mcg/kg	inhibitor	Na+/K+-ATPase		Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>http://www.ncbi.nlm.nih.gov/pubmed/15648655<NL>RTECS	Origin: Digitalis species	
few`P@D`xWnRJZJJJKQI[IIDVc^CeMZBH@hbbjhb`Y@@	355.4325	Glaucine	LD50(mouse) s.c.<NL>LD50(rat) p.o.<NL>LD50(rat) i.p.<NL>LD50(mouse) p.o.<NL>LD50(mouse) i.p.<NL>LD50(guinea pig) i.p.<NL>Ki (PDE4)<NL>	430 mg/kg<NL>545 mg/kg<NL>143 mg/kg<NL>434 mg/kg<NL>167 mg/kg<NL>140 mg/kg<NL>3.4 mcM	inhibitor (PDE4)<NL>antagonist (Ca+ channel)	PDE4<NL>Ca2+ channel	Phosphordiesterase<NL>Ca2+ channel	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS<NL>http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=1566148	Origin: Glaucium flavum; Litriodendron tulipifera	
fmkahbFHpRa`u[vZpYD@`PPdHAMNpJRGJIJIJISJQJNUjZjjjjVjhiVWiEYTJP	477.5718	Glucocheirolin						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Cheiranthus cheiri	
ei[PG@@@ACHljakg`X\^Q\bbbbbbbRQtVRbtrbVTLrxTtB\RfvIiZ@HbBDjjjjjjjhJT|QRzdrVVr~RJIeL@@	578.5212	Glucofrangulin A						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Rhamnus frangula	
ei[PG@@@ACHljakg`X\^Q\bbbbbbbRQtVRbtrbVTLrxTtB\RfvIiZ@HbBDjjjjjjjhJT|QRzdrVfr~RJIeL@@	578.5212	Glucofrangulin B						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Rhamnus frangula	
fes`hbFHpRa`uZNXLb@PHHRD@fgXEICeDeDeDieDhyVijjjjijjJUezQVUBd@	461.5728	Glucoiberin						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Cheiranthus cheiri	
efYPA@@@JIMFhT\\bTTTtTVttTQbaaTTRR`be`PruwsA@QAQPTD@QST@@@@	518.5602	Gossypol	LD50(mouse) p.o.<NL>LD50(rat) p.o.<NL>LD50(rabbit) p.o.<NL>IC50 (Bcl-xL)	765 mg/kg<NL>325 mg/kg<NL>1950 mg/kg<NL>8.7 mcM	inhibitor<NL>inhibits replication of HIV-1 virus<NL>antagonist (Bcl-xL)	Calcineurin<NL>protein kinase C<NL>Bcl-xL		Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS<NL>http://en.wikipedia.org/wiki/Gossypol<NL>Bioorg. Chem. (2007) Vol<NL>. 35, Issue 4, P 344-353	Origin: Gossypium species<NL>mutagen; reproductive-effector	
ehZPL@@@D@\bfdTRTQbTTcVdrtfDTdtBrzFNnZjjjjfjjjjjjeLDQNDIMHyLdtai\`@	456.70813	Gratiolon; (Betulinic acid)	IC50(MEL-1)<NL>IC50(MEL-2)<NL>IC50(MEL-4)<NL>values for 72h cultures	1 mcg/ml<NL>2 mcg/ml<NL>4.8 mcg/ml	inhibitor	MEL-1; MEL-2; MEL-4	human melanoma	Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>europ. j. Pharm. (2004) Vol. 498, Issues 1-3, P. 71-78	Origin: Betula species	
eawpG@@@Am`TV]SW_Xzv~|bbdRbfbbTtLedqVVbdRbLrbVTLrWBfc`UTQQuwLj^[UUUTuUUUUUUUUUUUUUUUYHPbTKbJPrYRiGQyPjf\hURjuAqMYh@	796.9879	Gratioside						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Gratuiola officinalis	
