Structure [idcode]	MW	name	activity	activity_value	mode_of_action	receptor	receptor_class	reference	remarks	
fheP@@@FrRJIJIXiIdnJt[pZjjjjjjIADcIi@@	234.38544	D-Sparteine; (Pachycarpine)	LD50(mouse) i.v.	26 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Sarothamnus scoparius; Genista species; Lupinus species	
ekhPF@@@DKNeclbbVTTbTUfRdtRqHhdL|BrJfvZfjjjjjjjjjDXWBdcdBRRJfr@@	406.51697	Strophanthidol						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Strophanthus species	
eiWPC@@@DKDaecg`\^Q\bbVTTbTUbRtfbbuRbTTrHhdL|BJjvnIiZfjjjjjjjjjjjjjoFEpiHyODDleUFe\oeBdTSJX@@	584.6564	gamma-Strophanthin; (Ouarbain; Quabaioside; Acocantherine)	LD50(cat) i.v.<NL>LD50(rat) i.v.<NL>LD(human) i.v.<NL>LD50(human) p.o.<NL>LD(human) rectal	150 mcg/kg<NL>14 mg/kg<NL>1 mg<NL>75 mg<NL>30-40 mg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Strophanthus species	
edqpG@@@DKNacgbZQ]_Px|bbVTTbTUfRdrbNRbRbVVbTTrQEDag`VURvtJImkTuUUUUTuUUUUUUUUUUQLKaRQrAIIUSYWHFPqE\jUJpuVh@	710.8107	K-Strophantin; (Strophoside)	LD50(mouse) i.v.<NL>LDLo(cat) i.v.	2.5 mg/kg<NL>196 mcg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Strophanthus combe Oliv.	
enSPI@@@DCGMk`RZ\bbVTTbbb\rTfVrTRbfVHhdlBbJjfVaQZfjjjjjjjjjjjjiqa\HRRSrQKIUIYGIy_REHp@	550.6862	Strospeside	LD50(cat) i.v.<NL>LDLo(dog) i.v.<NL>LD50(frog) i.v.	410 mcg/kg<NL>530 mcg/kg<NL>750 mcg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Nerium oleander	
fiP`@DYAiIfVYUe^UvJyJrPesUoVcZjBhJhjjhifTSIIJShF@@	334.4177	Strychnine	LDLo(man) unreported<NL>LD50(mouse) i.v.<NL>LDLo(rabbit) s.c.<NL>LDLo(pigeon) s.c.<NL>LDLo(Chicken) p.o.<NL>LD50(rat) i.v.<NL>LD50(rat) i.p.<NL>LD50(rat) p.o.<NL>LDLo(human) p.o.	1103 mcg/kg<NL>410 mcg/kg<NL>400 mcg/kg<NL>1 mg/kg<NL>30 mg/kg<NL>0.57 mg/kg<NL>0.25 mg/kg<NL>2350 mcg/kg<NL>30 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Strychnos ignatii; Strychnos nux-vomica<NL>Reproductive-effector	
ff}@H@@XDkShyrQQQJIJXkQKTdEMUUUAAETTaDPbhiH@	316.3048	Taxicatine						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Taxus baccata	
egXxE@@JPNIJnecoh\\bbdTTQfRbdRTZVbTtTlLTJVcbSRPqmkUUUMMUUUSSTuT@EQH`lDQGHEDduKdcHGD	641.7552	Taxine A						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Taxus baccata	
ee[XA@@HPIKODjcglbbbTtTTtJfTtTIrfTTTJSG@VRvplkSUUUUUMSUMUP@U@cDDbd\PTrbrAP@	583.7193	Taxine B	LD50(rat) i.v.	4.5 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Taxus baccata	
feoQ`@GQ@cbSK[Jj{JzheF\gIZcfuMUUUST@U@QbDeHr@@	352.43256	Tetrahydroalstonine	LD(mouse) p.o.	>3 g/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Catharanthus species; Rauvolfia species; Uncaria species; Voacanga species	
