Mz,pains,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,,,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
179.0717,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
179.0871,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
179.6539,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
183.0825,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
184.0982,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
194.0826,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
195.63908,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
197.0973,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
199.1134,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
200.53553,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
201.0753,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
212.9917,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
213.3164,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
223.0764,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
223.3065,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
225.092,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
225.33177,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
227.0719,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
240.7427,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
242.09571,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
258.1478,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
258.4806,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
258.5614,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
270.135,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
282.749,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
287.5572,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
296.1515,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
312.0162,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
337.144,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
401.914,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
409.374,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
410.83383,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
454.1684,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
455.2814,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
456.001,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
488.2668,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
541.5613,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
547.3059,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
565.3177,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
647.05285,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
689.1694,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
756.464,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
888.7294,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
894.4998,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
916.6701,0,0.755,-5.125,,0.117,-5.659,,4.018,1.899,4.882,5.518,5.567,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
