Mz,pains,,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
165.970261,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
170.092575,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
173.952332,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
174.898483,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
174.95993,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
174.96431,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
175.023056,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
175.967987,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
185.95253,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
195.973618,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
199.955536,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
201.870728,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
201.94693,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
203.983917,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
208.1689,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
217.094452,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
217.124039,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
219.953949,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
222.68425,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
228.304306,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
229.962418,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
231.9617,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
231.997513,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
236.237198,0,0.176,-5.651,3.544,-7.116,4.223,2.196,4.475,5.417,7.646,,-1.625,0,0.2,0,0.8,0.2,0.2,0,0.2,0.4,0,0,0.8,0
