compound,mw,,hba,,hbd,,rotb,,arom,,psa,,logp,,,,,
98,366.34464,365.842,4.4960794,4,2.4945285,2,2.5072558,3,2.5059469,2,92.99384,92.5,2.5878296,2.0834,,,,
99,319.83728,319.336,5.508451,5,2.4920168,2,2.5032792,3,2.4946926,2,75.069855,74.57,1.7733698,1.2683,,,,
100,250.77783,250.283,5.502317,5,2.5023334,2,2.5023296,3,2.4879262,2,98.458374,97.97,1.3636976,0.8596,,,,
101,287.86935,287.358999,3.4909184,3,2.4915752,1,2.4877803,4,2.4922278,2,62.82259,62.32,3.8860912,3.383,,,,
102,361.85693,361.373,6.489568,6,1.4993718,1,1.5062283,4,2.504667,2,75.51211,75.01,2.0489464,1.544,,,,
103,265.8572,265.338,4.4969077,4,2.4965055,2,2.4932487,4,2.5070252,2,67.519684,67.01,3.7481804,3.2433,,,,
104,298.9314,298.426,2.505122,2,1.4977857,1,1.498046,0,0.49932417,0,37.789364,37.3,3.9958982,3.4925,,,,
105,312.91745,312.413,2.4931915,2,0.51081383,0,0.50018597,1,1.5045033,1,41.129543,40.62,3.0380783,2.5349,,,,
106,345.3561,344.845,1.507412,1,0.49760902,0,0.50731725,4,4.500245,4,18.325485,17.82,5.880899,5.3767,,,,
107,350.96667,350.462,3.5041428,3,0.5057748,0,0.49492553,3,2.5080554,2,34.96909,34.47,4.6524963,4.1483,,,,
108,358.29428,357.793,4.5021286,4,1.4994301,1,1.4985689,4,3.5024688,3,69.02975,68.53,4.428895,3.92732,,,,
109,360.94833,360.45,5.5137806,5,2.503185,2,2.5065765,2,0.50717086,0,92.1746,91.67,2.493827,1.9898,,,,
110,360.94864,360.45,5.5051885,5,3.4914212,3,3.5052283,3,0.5034331,0,95.32966,94.83,2.0606477,1.5576,,,,
111,361.33463,360.837,4.503165,4,0.49854025,0,0.5034886,6,2.5005178,2,53.10089,52.6,5.18326,4.68,,,,
112,364.92578,364.423,6.4909725,6,3.4998498,3,3.49923,8,2.5004,2,95.32971,118.72,3.5393107,3.0365,,,,
113,380.95996,380.456,5.491642,5,3.5090885,3,3.5009754,2,0.5167063,0,27.43466,94.83,2.3770525,1.8737,,,,
114,188.72673,188.23,1.4987646,1,0.4946085,0,0.4979352,1,2.4912777,2,95.33439,26.93,1.9875892,1.48442,,,,
115,416.32626,415.829,6.4957976,6,1.4931096,1,1.4962949,6,3.5040202,3,113.21808,94.83,3.9728327,3.47052,,,,
116,323.64108,323.132,5.4983935,5,3.494456,3,3.4985676,6,1.5063287,1,114.09325,112.7,1.4118589,0.908999999,,,,
