molecule number,FDA approved name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half life,logs,logd,bioconcen,igc50,lc50fm,lc50dm
,,209.1316,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,210.1371,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,211.111,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,211.1476,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,213.1265,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,213.163,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,214.1659,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,215.1425,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,217.158,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,219.1157,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,219.1739,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,220.1217,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,220.1767,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,221.1314,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,223.1109,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,223.147,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,224.1174,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,224.1527,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,225.1263,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,225.1629,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,226.1661,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,227.142,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,228.1485,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,229.1577,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,230.1648,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,231.1736,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,232.1774,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,233.1321,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,234.1359,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,235.1475,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,236.1525,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,237.1256,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,237.1623,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,239.1431,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,239.1787,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
,,241.1584,,310.437,3.6586,2,1,37.3,1,0,2,0.5926554,,,,,,,,,,
