Mz,pains,,fsp3,cacao,halflife,logs,logd,bioconcentration,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53
218.9948,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
219.781,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
221.30543,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
223.983,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
226.989,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
229.9525,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
233.9813,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
234.947,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
235.9559,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
238.0436,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
239.7775,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
242.9849,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
243.9895,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
245.9816,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
246.551,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
246.98945,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
249.29554,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
249.9586,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
250.6206,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
253.98677,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
255.9901,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
261.9585,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
261.9665,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
262.9526,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
265.1361,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
267.9896,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
271.9848,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
275.95,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
277.953,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
278.962,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
281.992,0,0.231,-4.795,0.256,-2.974,1.102,1.133,4.598,5.842,6.008,,1.923,0,0,0.6,0,0.8,0.2,0,0.4,0.8,0,0,0.8,1
